Utilisateur liquidé,Date de la liquidation,SUM of Quantité liquidée
0xb44ec16db4edbdc6068fcdd458f66bb90430989f,2026-01-28,439.85
,2026-01-25,659.81
,2026-01-24,176.53
,2026-01-23,206.14
0xb44ec16db4edbdc6068fcdd458f66bb90430989f Total,,"1,482.34"
0x3656acfd7eabc33cfe9fe9005093ae38feede5d8,2025-06-24,"1,472.34"
0x3656acfd7eabc33cfe9fe9005093ae38feede5d8 Total,,"1,472.34"
0xe2260712e61a7832d8b2ae59055d0fd7a28518e3,2026-01-03,56.09
,2025-08-30,446.71
,2025-04-29,862.41
0xe2260712e61a7832d8b2ae59055d0fd7a28518e3 Total,,"1,365.21"
0x2872eb71eeebf9df13ec1480fc2129e3811dc04f,2025-03-24,"1,205.95"
0x2872eb71eeebf9df13ec1480fc2129e3811dc04f Total,,"1,205.95"
0x7d9ab478df690d523f3b419874b5ee0da3963924,2026-01-17,"1,033.55"
,2026-01-16,142.96
0x7d9ab478df690d523f3b419874b5ee0da3963924 Total,,"1,176.51"
0xd795f515726dc819f857b356f698d259c3324961,2025-10-06,73.57
,2025-09-07,304.08
,2025-08-20,576.97
0xd795f515726dc819f857b356f698d259c3324961 Total,,954.62
0x3f9283fd17ce14a2e1b3d138151651fc2660193b,2026-01-11,509.10
,2025-12-13,53.90
,2025-11-21,55.91
,2025-11-09,26.97
,2025-11-08,0.03
,2025-11-07,201.20
0x3f9283fd17ce14a2e1b3d138151651fc2660193b Total,,847.11
0x65dd1da49d64896a8315f61a143de97c6e401f5e,2026-01-28,711.46
,2026-01-27,54.98
0x65dd1da49d64896a8315f61a143de97c6e401f5e Total,,766.44
0xdce89ec250f99297c29805062af2b725278700c1,2025-11-22,255.75
,2025-11-20,5.06
,2025-11-16,199.71
,2025-11-14,109.99
,2025-11-10,140.87
0xdce89ec250f99297c29805062af2b725278700c1 Total,,711.39
0x9566e3e6f55d4378243e55de8e037ee8e6e4de7e,2025-11-04,659.97
0x9566e3e6f55d4378243e55de8e037ee8e6e4de7e Total,,659.97
0x4765027f7d763ac139d71062d815e43a5d764e1c,2026-01-26,3.26
,2026-01-09,77.35
,2026-01-08,0.03
,2026-01-07,0.27
,2026-01-04,154.73
,2026-01-03,0.04
,2026-01-02,0.42
,2025-12-28,0.71
,2025-12-19,3.64
,2025-11-08,309.30
,2025-11-07,1.02
,2025-10-19,100.77
0x4765027f7d763ac139d71062d815e43a5d764e1c Total,,651.55
0xe6119bb362f9ef0bcd714e0f6867a1a9ec15c5ad,2025-11-12,8.54
,2025-09-08,20.30
,2025-07-31,40.14
,2025-07-26,80.09
,2025-07-20,159.88
,2025-07-18,319.52
0xe6119bb362f9ef0bcd714e0f6867a1a9ec15c5ad Total,,628.47
0x875f0b529958f4164a3d9d19487c6ecf202ca4cd,2026-02-11,608.03
0x875f0b529958f4164a3d9d19487c6ecf202ca4cd Total,,608.03
0xc7466d304d5c1bcb4238b6007344d8e68bf93d4e,2026-01-15,7.49
,2026-01-12,0.05
,2025-12-14,10.23
,2025-11-21,17.34
,2025-11-17,29.42
,2025-11-07,31.75
,2025-11-01,72.34
,2025-10-14,167.59
,2025-07-29,249.01
0xc7466d304d5c1bcb4238b6007344d8e68bf93d4e Total,,585.22
0x712b6ece8e488d48f54782a6fe0f59aefdef12c5,2026-01-26,497.05
0x712b6ece8e488d48f54782a6fe0f59aefdef12c5 Total,,497.05
0x847edd116314b47e67570fdb819c1edeefe156de,2026-02-02,441.71
,2026-02-01,17.09
0x847edd116314b47e67570fdb819c1edeefe156de Total,,458.80
0x57180b888a36d753e9990d38bc1040c18f740e0b,2025-11-01,69.29
,2025-10-27,119.59
,2025-07-29,267.36
0x57180b888a36d753e9990d38bc1040c18f740e0b Total,,456.24
0xc0b86ab7eadc50faaa7e6481fc14f937c0262881,2026-02-07,3.54
,2026-01-19,424.96
0xc0b86ab7eadc50faaa7e6481fc14f937c0262881 Total,,428.50
0x008277d1c495ad548617014330a86bbf61fd8b3e,2025-12-23,243.16
,2025-11-25,21.99
,2025-11-17,60.38
,2025-11-16,102.49
0x008277d1c495ad548617014330a86bbf61fd8b3e Total,,428.02
0xeb96f53778b8d14ddc1a2319a9cfcd95ad737cfd,2025-11-20,2.03
,2025-11-06,8.24
,2025-10-31,14.04
,2025-10-14,24.03
,2025-08-05,53.99
,2025-08-01,107.84
,2025-07-28,215.33
0xeb96f53778b8d14ddc1a2319a9cfcd95ad737cfd Total,,425.51
0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,2025-10-01,1.44
,2025-09-16,3.44
,2025-07-18,6.76
,2025-02-12,12.96
,2025-01-28,25.79
,2025-01-21,51.47
,2025-01-10,102.56
,2025-01-06,204.86
0x5d38d703852e4c9b1010ce9e0145527dc57f4abb Total,,409.28
0xa7a6fd4970e83b20650d583ecb793eb3d2b1424a,2026-01-18,296.94
,2026-01-17,110.61
0xa7a6fd4970e83b20650d583ecb793eb3d2b1424a Total,,407.56
0x1aff351a742297513402635b72e252d05fd3fee1,2026-01-23,351.98
,2026-01-17,5.50
0x1aff351a742297513402635b72e252d05fd3fee1 Total,,357.48
0xb5706912bf78987a3737a2e145ec173ed384ec68,2026-01-12,10.70
,2026-01-01,21.32
,2025-11-29,42.23
,2025-11-26,84.40
,2025-10-18,158.25
0xb5706912bf78987a3737a2e145ec173ed384ec68 Total,,316.89
0x3c63f894b4aefce537d1cfa79d77c86e996fe810,2026-02-10,33.35
,2026-02-06,161.01
,2026-02-05,120.66
0x3c63f894b4aefce537d1cfa79d77c86e996fe810 Total,,315.02
0x1338b5232a503779b60167143f94b73c4001793c,2026-01-15,5.12
,2025-12-28,10.18
,2025-11-26,20.17
,2025-11-07,0.99
,2025-11-04,28.81
,2025-11-02,49.08
,2025-10-13,83.98
,2025-10-06,97.20
,2025-09-13,10.21
0x1338b5232a503779b60167143f94b73c4001793c Total,,305.73
0x6a38a2e7272ff8dc75a772d2f267b82919deec1c,2026-01-28,199.08
,2026-01-26,57.18
,2026-01-20,9.90
,2026-01-19,11.00
0x6a38a2e7272ff8dc75a772d2f267b82919deec1c Total,,277.15
0x3b64ded3524f6debe9602535a34922beac3dd2f6,2025-11-03,1.97
,2025-10-10,5.39
,2025-07-18,7.84
,2025-02-01,14.19
,2025-01-08,31.46
,2025-01-05,62.85
,2024-12-14,124.29
0x3b64ded3524f6debe9602535a34922beac3dd2f6 Total,,247.98
0x90321f0db2eedb928b16dc8eebedae2837023eed,2026-01-10,179.23
,2025-09-24,53.89
0x90321f0db2eedb928b16dc8eebedae2837023eed Total,,233.12
0x66d765b2942ee17e0fb98dff9b81d0b3175d8a38,2026-02-09,0.57
,2026-02-07,0.16
,2026-02-06,0.33
,2026-01-28,118.76
,2026-01-26,108.34
0x66d765b2942ee17e0fb98dff9b81d0b3175d8a38 Total,,228.16
0xd7dc4f2038ef3529f2354c0d19957947574dfc20,2025-04-30,222.74
0xd7dc4f2038ef3529f2354c0d19957947574dfc20 Total,,222.74
0xe506ac2211455856733b98913bb9605137180eac,2026-01-24,221.03
0xe506ac2211455856733b98913bb9605137180eac Total,,221.03
0x78b1eac5f6804b7017083d5dcec98afeec9de6ed,2025-08-29,216.68
0x78b1eac5f6804b7017083d5dcec98afeec9de6ed Total,,216.68
0xbaa10068b05d87746c78266bdf6fed4cfa279c41,2026-01-17,49.49
,2025-10-17,153.98
0xbaa10068b05d87746c78266bdf6fed4cfa279c41 Total,,203.47
0x743753fbb67f4cbd42d9bb88ba40b0d8b78ca278,2026-01-21,2.45
,2025-12-02,3.70
,2025-10-17,6.32
,2025-09-21,10.88
,2025-08-17,25.71
,2025-08-04,51.24
,2025-07-27,102.10
0x743753fbb67f4cbd42d9bb88ba40b0d8b78ca278 Total,,202.39
0x0c3a7a4a898963ca38b12d61c321207f336f9e04,2026-01-22,201.42
0x0c3a7a4a898963ca38b12d61c321207f336f9e04 Total,,201.42
0xe96739caa7cbf0f79a81ae7241d2123c4fa42be3,2026-01-18,201.13
0xe96739caa7cbf0f79a81ae7241d2123c4fa42be3 Total,,201.13
0xde3da56cd1b70b998e29f6316c535c6f16544b18,2025-05-08,196.82
0xde3da56cd1b70b998e29f6316c535c6f16544b18 Total,,196.82
0x9d109e3f6889f28d8a559bca9352086bfda03064,2026-01-03,102.90
,2025-11-27,88.81
0x9d109e3f6889f28d8a559bca9352086bfda03064 Total,,191.71
0xcf4ae13784cdfabfdb8fe82e81b7d38b6c5c5b65,2024-11-01,176.77
0xcf4ae13784cdfabfdb8fe82e81b7d38b6c5c5b65 Total,,176.77
0x9c643c0ac58fd8eb27527829da07f29ab6e892ae,2025-08-13,174.88
0x9c643c0ac58fd8eb27527829da07f29ab6e892ae Total,,174.88
0x8c868fe878bc4557a9af5ee813b5ee57f047e7fd,2026-02-01,2.11
,2025-11-07,2.86
,2025-11-02,0.06
,2025-08-17,6.81
,2025-07-29,13.53
,2025-07-21,26.98
,2025-07-18,40.23
,2025-06-25,78.45
0x8c868fe878bc4557a9af5ee813b5ee57f047e7fd Total,,171.02
0x9cd435ec62ddf0fae144760fae06167fde3fed2e,2025-11-27,169.50
0x9cd435ec62ddf0fae144760fae06167fde3fed2e Total,,169.50
0x3d77c4e58c09e4804531c3799f41d88767649573,2026-02-09,1.51
,2026-02-08,161.66
0x3d77c4e58c09e4804531c3799f41d88767649573 Total,,163.17
0xf1d049c3fc9e5a385c61977a262b602948a21282,2026-01-19,1.71
,2025-12-25,3.39
,2025-11-29,6.73
,2025-11-07,7.63
,2025-07-28,20.32
,2025-07-27,38.49
,2025-07-18,78.86
0xf1d049c3fc9e5a385c61977a262b602948a21282 Total,,157.14
0x46ab48c66a7ede1126ef780eb4be795abdc3bfb5,2026-01-18,5.48
,2025-11-24,3.30
,2025-11-14,9.78
,2025-11-09,16.63
,2025-07-19,38.92
,2025-07-17,77.79
0x46ab48c66a7ede1126ef780eb4be795abdc3bfb5 Total,,151.90
0x34c8c9490cdab71f63709c81fe6e6c01e63e62b8,2026-01-28,51.68
,2025-12-14,98.99
0x34c8c9490cdab71f63709c81fe6e6c01e63e62b8 Total,,150.67
0x26bf204fd437f7a69889afb702d0bfd62f48d62f,2025-11-14,2.04
,2025-11-12,0.01
,2025-11-07,0.04
,2025-09-17,4.92
,2025-09-11,9.81
,2025-08-06,18.58
,2025-07-25,36.98
,2025-07-18,73.80
0x26bf204fd437f7a69889afb702d0bfd62f48d62f Total,,146.18
0xbd18252e2aa7bf08e6cbfd8852cb3740eee0687f,2025-11-28,1.79
,2025-09-13,3.48
,2025-08-17,6.91
,2025-07-18,13.68
,2025-06-30,27.21
,2025-06-27,54.37
0xbd18252e2aa7bf08e6cbfd8852cb3740eee0687f Total,,107.44
0xee630cd2e857189a3c04c5d94593e1e0fbf2bb10,2025-12-27,65.99
,2025-12-02,39.62
0xee630cd2e857189a3c04c5d94593e1e0fbf2bb10 Total,,105.61
0x51982482c9070b20a30ef3385aaa1a97e6ea4583,2026-01-13,104.51
0x51982482c9070b20a30ef3385aaa1a97e6ea4583 Total,,104.51
0x4a7fb519b3cf634017952947be3a24f1473ac472,2026-01-11,2.04
,2025-10-21,2.82
,2025-09-27,6.73
,2025-08-15,13.31
,2025-08-09,26.56
,2025-07-19,52.74
0x4a7fb519b3cf634017952947be3a24f1473ac472 Total,,104.20
0x08d0398c85f342071af7da83702f0306d9fd40d9,2026-01-24,3.50
,2025-10-11,1.10
,2025-02-01,7.29
,2025-01-08,14.47
,2024-12-23,28.80
,2024-12-19,47.82
0x08d0398c85f342071af7da83702f0306d9fd40d9 Total,,102.99
0x5025ab6d4b86c2d4e4c27220f8fcf58dff846297,2026-01-12,3.41
,2025-11-30,6.73
,2025-11-26,13.45
,2025-11-13,0.26
,2025-08-02,26.18
,2025-07-20,52.08
0x5025ab6d4b86c2d4e4c27220f8fcf58dff846297 Total,,102.11
0x62fe2662a0c5fd2f764dd96aa52686ee3f601d4b,2026-01-25,101.95
0x62fe2662a0c5fd2f764dd96aa52686ee3f601d4b Total,,101.95
0xb0e4a131395e078467828dc6265effd057f33143,2025-07-30,33.94
,2025-07-22,67.66
0xb0e4a131395e078467828dc6265effd057f33143 Total,,101.61
0xc73ca270e6613ce58441a75f3853f0cf1b269b58,2025-08-23,100.39
0xc73ca270e6613ce58441a75f3853f0cf1b269b58 Total,,100.39
0x9c92e648306ba4fec36e80bc852d5ac4873bec52,2025-10-27,97.97
0x9c92e648306ba4fec36e80bc852d5ac4873bec52 Total,,97.97
0x1dd4897733757d704e3641472c4c01edf1ed650f,2025-10-20,32.65
,2025-10-07,61.63
0x1dd4897733757d704e3641472c4c01edf1ed650f Total,,94.28
0x1b6ddd1011dd8f9b85fedad533cd1da3826943f3,2026-02-07,2.72
,2026-02-06,5.44
,2026-02-05,10.87
,2026-02-01,21.67
,2025-12-04,29.19
,2025-10-31,19.57
0x1b6ddd1011dd8f9b85fedad533cd1da3826943f3 Total,,89.47
0xab7eed4971b3637c3df434b34a5a19fcd947e971,2026-02-09,0.05
,2026-02-07,0.41
,2026-01-27,58.19
,2026-01-25,24.92
0xab7eed4971b3637c3df434b34a5a19fcd947e971 Total,,83.57
0x78df61544a26331a75302b26045668ac09f81c54,2025-11-03,0.52
,2025-09-21,1.04
,2025-09-16,2.47
,2025-09-11,4.94
,2025-09-10,9.87
,2025-08-29,18.68
,2025-08-02,37.08
0x78df61544a26331a75302b26045668ac09f81c54 Total,,74.61
0x332e360e7d68e124044c889a68c872347100807b,2026-01-23,1.61
,2025-12-19,3.17
,2025-10-14,4.41
,2025-10-01,7.56
,2025-09-10,17.98
,2025-07-20,33.96
0x332e360e7d68e124044c889a68c872347100807b Total,,68.68
0x042e4f113e24e2734100733cfeeae5d7c0ddd15b,2026-01-31,5.63
,2026-01-29,62.37
0x042e4f113e24e2734100733cfeeae5d7c0ddd15b Total,,68.00
0xacaeacb746a737cb82c4bb56f7e438db122b0458,2026-01-25,1.82
,2025-12-31,3.60
,2025-11-28,4.94
,2025-11-19,8.38
,2025-11-08,11.62
,2025-09-25,2.20
,2025-09-21,33.64
0xacaeacb746a737cb82c4bb56f7e438db122b0458 Total,,66.22
0x3f38a383447d390aff13722822da57d3b7ea3e14,2026-01-24,2.75
,2025-10-26,4.17
,2025-09-28,7.16
,2025-09-15,17.05
,2025-07-20,33.52
0x3f38a383447d390aff13722822da57d3b7ea3e14 Total,,64.64
0xd1077b002d1d8d8bffe41eb9d86680d5c32c0fa7,2026-02-06,0.62
,2026-01-28,0.05
,2026-01-27,0.64
,2026-01-26,0.59
,2026-01-15,54.99
,2026-01-14,0.08
,2026-01-13,5.51
,2026-01-12,0.68
0xd1077b002d1d8d8bffe41eb9d86680d5c32c0fa7 Total,,63.17
0x63a5d26f47a7be8e2fcb55f0012650388be361e6,2026-01-19,60.11
0x63a5d26f47a7be8e2fcb55f0012650388be361e6 Total,,60.11
0xedef834ab54645ec84c4834e98b92ca82c197c39,2026-02-07,6.60
,2026-01-18,51.15
0xedef834ab54645ec84c4834e98b92ca82c197c39 Total,,57.75
0x16ddccb5d1709271fa400c6b21151bf7f55afae9,2025-07-10,24.75
,2025-07-09,33.00
0x16ddccb5d1709271fa400c6b21151bf7f55afae9 Total,,57.75
0x7f1c592dba1efd7d5c54b007b5eec9700877b342,2025-10-15,56.09
0x7f1c592dba1efd7d5c54b007b5eec9700877b342 Total,,56.09
0xe092201b1b8457d63bc6f837ac42a2e816d6d6b7,2025-11-26,54.99
,2025-11-21,0.02
,2025-11-20,0.85
0xe092201b1b8457d63bc6f837ac42a2e816d6d6b7 Total,,55.86
0x586f6a0b12d23b22baac06a5ab9a29ee3300d3d4,2026-02-07,33.00
,2026-01-28,21.99
0x586f6a0b12d23b22baac06a5ab9a29ee3300d3d4 Total,,54.99
0x64010f363b85d9c8ec183ff646809c03d805a8ad,2025-11-01,50.21
0x64010f363b85d9c8ec183ff646809c03d805a8ad Total,,50.21
0x24521902825ce358d53e1b778ee115c7082ff5ae,2026-02-10,2.31
,2026-02-03,29.41
,2026-01-30,5.50
,2026-01-29,2.20
,2026-01-28,3.74
,2026-01-27,0.88
,2026-01-26,5.08
0x24521902825ce358d53e1b778ee115c7082ff5ae Total,,49.12
0xaadb9b9c984439cd6ca0107afb88fda85756a04e,2026-02-03,37.93
,2026-01-30,1.27
,2025-12-22,8.23
0xaadb9b9c984439cd6ca0107afb88fda85756a04e Total,,47.43
0xbc58fb9ffbbcce8c776c03ba00c848701d3a5391,2026-01-12,1.64
,2025-12-27,3.09
,2025-12-06,4.24
,2025-07-19,9.43
,2025-06-29,18.74
0xbc58fb9ffbbcce8c776c03ba00c848701d3a5391 Total,,37.13
0x4bafa9c6c73400488b38e9174acc05f1cff6f57a,2025-09-19,1.17
,2025-09-14,2.34
,2025-09-10,4.67
,2025-07-18,9.19
,2025-06-30,18.26
