Date de la liquidation,Liquidateur (Wrapper),Utilisateur liquidé,Collatéral liquidé,Quantité liquidée,Dette remboursée,Token de dette
2025-01-08,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3b64ded3524f6debe9602535a34922beac3dd2f6,RealToken Wrapped USD 01,31.46,28.60,USD//C on xDai
2025-01-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,RealToken Wrapped USD 01,102.56,93.23,USD//C on xDai
2025-01-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,656.04,595.86,Wrapped XDAI
2025-01-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,328.02,297.93,Wrapped XDAI
2025-01-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,164.01,148.97,Wrapped XDAI
2025-01-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,82.01,74.49,Wrapped XDAI
2025-01-14,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,41.02,37.29,Wrapped XDAI
2025-01-15,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,20.52,18.65,Wrapped XDAI
2025-01-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,10.26,9.33,Wrapped XDAI
2025-01-21,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,RealToken Wrapped USD 01,51.47,46.79,USD//C on xDai
2025-01-28,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,RealToken Wrapped USD 01,25.79,23.44,USD//C on xDai
2025-02-01,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x08d0398c85f342071af7da83702f0306d9fd40d9,RealToken Wrapped USD 01,7.29,6.63,USD//C on xDai
2025-02-01,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3b64ded3524f6debe9602535a34922beac3dd2f6,RealToken Wrapped USD 01,14.19,12.90,USD//C on xDai
2025-02-12,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,RealToken Wrapped USD 01,12.96,11.78,USD//C on xDai
2025-03-24,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x2872eb71eeebf9df13ec1480fc2129e3811dc04f,RealToken Wrapped USD 01,"1,205.95","1,096.29",Wrapped XDAI
2025-03-27,0xb2cc0d719b71fb91082e050967b644a5e55b33a0,0x6629d51b603c34119991bb12550f87f589532411,USD//C on xDai,31.77,30.40,USD//C on xDai
2025-04-29,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe2260712e61a7832d8b2ae59055d0fd7a28518e3,RealToken Wrapped USD 01,862.41,784.02,Wrapped XDAI
2025-04-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xd7dc4f2038ef3529f2354c0d19957947574dfc20,RealToken Wrapped USD 01,222.74,202.48,USD//C on xDai
2025-05-01,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,RealToken Wrapped USD 01,"1,671.49","1,519.52",USD//C on xDai
2025-05-08,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xde3da56cd1b70b998e29f6316c535c6f16544b18,RealToken Wrapped USD 01,196.82,178.92,Wrapped XDAI
2025-06-04,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x005f16f017aa933bb41965b52848ceb8ee48b171,RealToken Wrapped USD 01,"1,488.27","1,353.08",Wrapped XDAI
2025-06-14,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x6e2bc0e64e9d9133646b770cd16c2ddb352cc92b,RealToken Wrapped USD 01,"1,225.26","1,114.01",USD//C on xDai
2025-06-24,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3656acfd7eabc33cfe9fe9005093ae38feede5d8,RealToken Wrapped USD 01,"1,472.34","1,338.41",Wrapped XDAI
2025-06-25,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8c868fe878bc4557a9af5ee813b5ee57f047e7fd,RealToken Wrapped USD 01,78.45,71.32,USD//C on xDai
2025-06-27,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xbd18252e2aa7bf08e6cbfd8852cb3740eee0687f,RealToken Wrapped USD 01,54.37,49.43,USD//C on xDai
2025-06-29,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xbc58fb9ffbbcce8c776c03ba00c848701d3a5391,RealToken Wrapped USD 01,18.74,17.04,USD//C on xDai
2025-06-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5f4a6dbf4a2c24e43df995c2b8109a7183dc2efd,RealToken Wrapped USD 01,18.13,16.49,USD//C on xDai
2025-06-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xbd18252e2aa7bf08e6cbfd8852cb3740eee0687f,RealToken Wrapped USD 01,27.21,24.74,USD//C on xDai
2025-06-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4bafa9c6c73400488b38e9174acc05f1cff6f57a,RealToken Wrapped USD 01,18.26,16.60,USD//C on xDai
2025-06-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x9478588678a642171950edd318cee6ea45a92446,RealToken Wrapped USD 01,18.07,16.43,USD//C on xDai
2025-07-01,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe47263b1e75f798a7d1b46f41ada6f4379647e46,RealToken Wrapped USD 01,"11,998.68","10,908.65",USD//C on xDai
2025-07-08,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,RealToken Wrapped USD 01,886.75,806.21,USD//C on xDai
2025-07-09,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x6e2bc0e64e9d9133646b770cd16c2ddb352cc92b,RealToken Wrapped USD 01,822.21,747.53,USD//C on xDai
2025-07-09,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x16ddccb5d1709271fa400c6b21151bf7f55afae9,RealToken Wrapped USD 01,33.00,30.00,Wrapped XDAI
2025-07-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x16ddccb5d1709271fa400c6b21151bf7f55afae9,RealToken Wrapped USD 01,16.50,15.00,Wrapped XDAI
2025-07-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x16ddccb5d1709271fa400c6b21151bf7f55afae9,RealToken Wrapped USD 01,8.25,7.50,Wrapped XDAI
2025-07-14,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x1de6800d6c2d2430edee2b52c49dcf89dfb84374,RealToken Wrapped USD 01,"1,166.30","1,060.33",USD//C on xDai
2025-07-17,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x46ab48c66a7ede1126ef780eb4be795abdc3bfb5,RealToken Wrapped USD 01,77.79,70.72,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xfc34bd5dd30830d6fb46e14ced99e8bc0e9bb1ab,RealToken Wrapped USD 01,16.49,14.99,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe6119bb362f9ef0bcd714e0f6867a1a9ec15c5ad,RealToken Wrapped USD 01,319.52,290.51,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x26bf204fd437f7a69889afb702d0bfd62f48d62f,RealToken Wrapped USD 01,73.80,67.10,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8c868fe878bc4557a9af5ee813b5ee57f047e7fd,RealToken Wrapped USD 01,40.23,36.58,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3b64ded3524f6debe9602535a34922beac3dd2f6,RealToken Wrapped USD 01,7.84,7.13,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,RealToken Wrapped USD 01,6.76,6.15,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4bafa9c6c73400488b38e9174acc05f1cff6f57a,RealToken Wrapped USD 01,9.19,8.35,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xbd18252e2aa7bf08e6cbfd8852cb3740eee0687f,RealToken Wrapped USD 01,13.68,12.44,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x9478588678a642171950edd318cee6ea45a92446,RealToken Wrapped USD 01,9.09,8.26,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x2b9184d0e49d9a30deeedb2cd884b404e3933dc3,RealToken Wrapped USD 01,18.13,16.49,USD//C on xDai
2025-07-18,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xf1d049c3fc9e5a385c61977a262b602948a21282,RealToken Wrapped USD 01,78.86,71.70,USD//C on xDai
2025-07-19,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5f4a6dbf4a2c24e43df995c2b8109a7183dc2efd,RealToken Wrapped USD 01,9.12,8.29,USD//C on xDai
2025-07-19,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xbc58fb9ffbbcce8c776c03ba00c848701d3a5391,RealToken Wrapped USD 01,9.43,8.57,USD//C on xDai
2025-07-19,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4a7fb519b3cf634017952947be3a24f1473ac472,RealToken Wrapped USD 01,52.74,47.95,USD//C on xDai
2025-07-19,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x46ab48c66a7ede1126ef780eb4be795abdc3bfb5,RealToken Wrapped USD 01,38.92,35.39,USD//C on xDai
2025-07-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5025ab6d4b86c2d4e4c27220f8fcf58dff846297,RealToken Wrapped USD 01,52.08,47.35,USD//C on xDai
2025-07-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x332e360e7d68e124044c889a68c872347100807b,RealToken Wrapped USD 01,33.96,30.88,USD//C on xDai
2025-07-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,751.79,683.51,USD//C on xDai
2025-07-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x6e2bc0e64e9d9133646b770cd16c2ddb352cc92b,RealToken Wrapped USD 01,547.77,498.02,USD//C on xDai
2025-07-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe6119bb362f9ef0bcd714e0f6867a1a9ec15c5ad,RealToken Wrapped USD 01,159.88,145.36,USD//C on xDai
2025-07-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3f38a383447d390aff13722822da57d3b7ea3e14,RealToken Wrapped USD 01,33.52,30.47,USD//C on xDai
2025-07-21,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8c868fe878bc4557a9af5ee813b5ee57f047e7fd,RealToken Wrapped USD 01,26.98,24.53,USD//C on xDai
2025-07-22,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xb0e4a131395e078467828dc6265effd057f33143,RealToken Wrapped USD 01,67.66,61.52,USD//C on xDai
2025-07-25,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x26bf204fd437f7a69889afb702d0bfd62f48d62f,RealToken Wrapped USD 01,36.98,33.62,USD//C on xDai
2025-07-26,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe6119bb362f9ef0bcd714e0f6867a1a9ec15c5ad,RealToken Wrapped USD 01,80.09,72.82,USD//C on xDai
2025-07-26,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,376.67,342.49,USD//C on xDai
2025-07-27,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x743753fbb67f4cbd42d9bb88ba40b0d8b78ca278,RealToken Wrapped USD 01,102.10,92.83,USD//C on xDai
2025-07-27,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xf1d049c3fc9e5a385c61977a262b602948a21282,RealToken Wrapped USD 01,38.49,35.00,USD//C on xDai
2025-07-28,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xeb96f53778b8d14ddc1a2319a9cfcd95ad737cfd,RealToken Wrapped USD 01,215.33,195.77,USD//C on xDai
2025-07-28,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xf1d049c3fc9e5a385c61977a262b602948a21282,RealToken Wrapped USD 01,20.32,18.48,USD//C on xDai
2025-07-29,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x57180b888a36d753e9990d38bc1040c18f740e0b,RealToken Wrapped USD 01,267.36,243.10,USD//C on xDai
2025-07-29,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xc7466d304d5c1bcb4238b6007344d8e68bf93d4e,RealToken Wrapped USD 01,249.01,226.41,USD//C on xDai
2025-07-29,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8c868fe878bc4557a9af5ee813b5ee57f047e7fd,RealToken Wrapped USD 01,13.53,12.30,USD//C on xDai
2025-07-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xb0e4a131395e078467828dc6265effd057f33143,RealToken Wrapped USD 01,33.94,30.86,USD//C on xDai
2025-07-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,188.76,171.62,USD//C on xDai
2025-07-31,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,94.40,85.82,USD//C on xDai
2025-07-31,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe6119bb362f9ef0bcd714e0f6867a1a9ec15c5ad,RealToken Wrapped USD 01,40.14,36.50,USD//C on xDai
2025-08-01,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,47.22,42.93,USD//C on xDai
2025-08-01,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xeb96f53778b8d14ddc1a2319a9cfcd95ad737cfd,RealToken Wrapped USD 01,107.84,98.05,USD//C on xDai
2025-08-02,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x78df61544a26331a75302b26045668ac09f81c54,RealToken Wrapped USD 01,37.08,33.72,USD//C on xDai
2025-08-02,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5025ab6d4b86c2d4e4c27220f8fcf58dff846297,RealToken Wrapped USD 01,26.18,23.80,USD//C on xDai
2025-08-03,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,RealToken Wrapped USD 01,447.70,407.06,USD//C on xDai
2025-08-03,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x6e2bc0e64e9d9133646b770cd16c2ddb352cc92b,RealToken Wrapped USD 01,275.40,250.39,USD//C on xDai
2025-08-04,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x743753fbb67f4cbd42d9bb88ba40b0d8b78ca278,RealToken Wrapped USD 01,51.24,46.59,USD//C on xDai
2025-08-05,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xeb96f53778b8d14ddc1a2319a9cfcd95ad737cfd,RealToken Wrapped USD 01,53.99,49.09,USD//C on xDai
2025-08-05,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,23.64,21.50,USD//C on xDai
2025-08-06,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x26bf204fd437f7a69889afb702d0bfd62f48d62f,RealToken Wrapped USD 01,18.58,16.89,USD//C on xDai
2025-08-09,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4a7fb519b3cf634017952947be3a24f1473ac472,RealToken Wrapped USD 01,26.56,24.15,USD//C on xDai
2025-08-13,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x9c643c0ac58fd8eb27527829da07f29ab6e892ae,RealToken Wrapped USD 01,174.88,158.99,Wrapped XDAI
2025-08-15,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4a7fb519b3cf634017952947be3a24f1473ac472,RealToken Wrapped USD 01,13.31,12.10,USD//C on xDai
2025-08-17,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,11.86,10.78,USD//C on xDai
2025-08-17,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x743753fbb67f4cbd42d9bb88ba40b0d8b78ca278,RealToken Wrapped USD 01,25.71,23.37,USD//C on xDai
2025-08-17,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8c868fe878bc4557a9af5ee813b5ee57f047e7fd,RealToken Wrapped USD 01,6.81,6.19,USD//C on xDai
2025-08-17,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xbd18252e2aa7bf08e6cbfd8852cb3740eee0687f,RealToken Wrapped USD 01,6.91,6.28,USD//C on xDai
2025-08-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xd795f515726dc819f857b356f698d259c3324961,RealToken Wrapped USD 01,576.97,524.58,USD//C on xDai
2025-08-22,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,RealToken Wrapped USD 01,224.99,204.56,USD//C on xDai
2025-08-23,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x369237ec452ca56a402d4dde5f808ce8612abc87,RealToken Wrapped USD 01,912.65,829.80,USD//C on xDai
2025-08-23,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x01dbf05fb100fd2f0d963eba2cbedf765c7b347e,RealToken Wrapped USD 01,16.50,15.00,USD//C on xDai
2025-08-23,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x1597d948013fc2821aef1aeb642e5734f1636085,RealToken Wrapped USD 01,16.50,15.00,USD//C on xDai
2025-08-23,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xc73ca270e6613ce58441a75f3853f0cf1b269b58,RealToken Wrapped USD 01,100.39,91.28,USD//C on xDai
2025-08-25,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,RealToken Wrapped USD 01,112.59,102.37,USD//C on xDai
2025-08-27,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xd66e507883cdf2e29adf8a3c25cf8120c783de78,RealToken Wrapped USD 01,"2,156.37","1,960.75",USD//C on xDai
2025-08-27,0xe5451d121040e6176476077955efc44ea5c01d48,0x0ecf7674afac3d704444b8a55654e7e8d8df4a2f,USD//C on xDai,"1,924.09","1,841.23",USD//C on xDai
2025-08-27,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x369237ec452ca56a402d4dde5f808ce8612abc87,RealToken Wrapped USD 01,456.95,415.49,USD//C on xDai
2025-08-29,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x78b1eac5f6804b7017083d5dcec98afeec9de6ed,RealToken Wrapped USD 01,216.68,196.96,Wrapped XDAI
2025-08-29,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x78df61544a26331a75302b26045668ac09f81c54,RealToken Wrapped USD 01,18.68,16.99,USD//C on xDai
2025-08-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe2260712e61a7832d8b2ae59055d0fd7a28518e3,RealToken Wrapped USD 01,446.71,406.13,Wrapped XDAI
2025-08-30,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x0ecf7674afac3d704444b8a55654e7e8d8df4a2f,RealToken Wrapped USD 01,"38,493.82","35,000.00",USD//C on xDai
2025-09-02,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x6e2bc0e64e9d9133646b770cd16c2ddb352cc92b,RealToken Wrapped USD 01,144.28,131.16,Wrapped XDAI
2025-09-04,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,RealToken Wrapped USD 01,56.48,51.35,USD//C on xDai
2025-09-07,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xd795f515726dc819f857b356f698d259c3324961,RealToken Wrapped USD 01,304.08,276.47,USD//C on xDai
2025-09-07,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,RealToken Wrapped USD 01,28.26,25.70,USD//C on xDai
2025-09-08,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe6119bb362f9ef0bcd714e0f6867a1a9ec15c5ad,RealToken Wrapped USD 01,20.30,18.45,USD//C on xDai
2025-09-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x332e360e7d68e124044c889a68c872347100807b,RealToken Wrapped USD 01,17.98,16.35,USD//C on xDai
2025-09-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x78df61544a26331a75302b26045668ac09f81c54,RealToken Wrapped USD 01,9.87,8.98,USD//C on xDai
2025-09-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4bafa9c6c73400488b38e9174acc05f1cff6f57a,RealToken Wrapped USD 01,4.67,4.25,USD//C on xDai
2025-09-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x94fd79440abe8d762945ca25dc0e025f424d0c79,RealToken Wrapped USD 01,5.97,5.43,USD//C on xDai
2025-09-11,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x26bf204fd437f7a69889afb702d0bfd62f48d62f,RealToken Wrapped USD 01,9.81,8.92,USD//C on xDai
2025-09-11,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x78df61544a26331a75302b26045668ac09f81c54,RealToken Wrapped USD 01,4.94,4.49,USD//C on xDai
2025-09-13,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xbd18252e2aa7bf08e6cbfd8852cb3740eee0687f,RealToken Wrapped USD 01,3.48,3.17,USD//C on xDai
2025-09-13,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xe3da958c3ee061d77676332bafe82123fe2cc3f1,RealToken Wrapped USD 01,17.28,15.71,USD//C on xDai
2025-09-13,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x01dbf05fb100fd2f0d963eba2cbedf765c7b347e,RealToken Wrapped USD 01,8.97,8.16,USD//C on xDai
2025-09-13,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x1338b5232a503779b60167143f94b73c4001793c,RealToken Wrapped USD 01,10.21,9.29,USD//C on xDai
2025-09-14,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4bafa9c6c73400488b38e9174acc05f1cff6f57a,RealToken Wrapped USD 01,2.34,2.13,USD//C on xDai
2025-09-15,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3f38a383447d390aff13722822da57d3b7ea3e14,RealToken Wrapped USD 01,17.05,15.51,USD//C on xDai
2025-09-15,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4f7765c9febc51cd63f68f573920c0b7bf803151,RealToken Wrapped USD 01,15.44,14.04,USD//C on xDai
2025-09-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,RealToken Wrapped USD 01,3.44,3.13,USD//C on xDai
2025-09-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4f7765c9febc51cd63f68f573920c0b7bf803151,RealToken Wrapped USD 01,1.10,1.00,USD//C on xDai
2025-09-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4f7765c9febc51cd63f68f573920c0b7bf803151,RealToken Wrapped USD 01,1.10,1.00,USD//C on xDai
2025-09-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x78df61544a26331a75302b26045668ac09f81c54,RealToken Wrapped USD 01,2.47,2.25,USD//C on xDai
2025-09-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4f7765c9febc51cd63f68f573920c0b7bf803151,RealToken Wrapped USD 01,"2,519.07","2,290.37",USD//C on xDai
2025-09-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4f7765c9febc51cd63f68f573920c0b7bf803151,RealToken Wrapped USD 01,"1,687.76","1,534.53",USD//C on xDai
2025-09-16,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x4f7765c9febc51cd63f68f573920c0b7bf803151,RealToken Wrapped USD 01,61.92,56.30,USD//C on xDai
